classs,displayid,flags2,id,level,name,reqlevel,slot,subclass,firstseenpatch,cooldown,dmgrange,maxcount,sellprice,popularity,contentPhase,bop,commondrop,dps,slotbak,speed,dmgmax1,dmgmin1,dmgtype1,mledmgmax,mledmgmin,mledps,mlespeed,sheathtype,buyprice,avgbuyout,reqskill,reqskillrank,dura,side,arcsplpwr,int,manargn,splheal,reqclass,classes,frosplpwr,firres,arcres,spi,frores,sta,splpwr,splhitpct,firsplpwr,shares,splcritstrkpct,shasplpwr,natres,agi,rgddmgmax,rgddmgmin,rgddps,rgdspeed,rgdatkpwr,atkpwr,str,mlehitpct,rgdhitpct,mlecritstrkpct,rgdcritstrkpct,armor,def,parrypct,holsplpwr,healthrgn,reqrace,races,natsplpwr,reqfaction,reqrep,splpen,feratkpwr,itemset
2,3947,8192,2808,29,7Torch of Flame,,21,14, 0,,1.00,,2364,14,1,1,,14.66,21,2.90,51,34,0,51,34,14.66,2.90,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20731,8192,6366,20,7Darkwood Fishing Pole,15,17,20, 0,,1.00,,1066,303,1},0,,11.83,17,3.00,43,28,0,43,28,11.83,3.00,1,,,356,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20730,8192,6256,1,7Fishing Pole,,17,20, 0,,1.00,,4,375,1,0,,1.00,17,3.00,4,2,0,4,2,1.00,3.00,1,23,500,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20618,8192,6365,10,7Strong Fishing Pole,5,17,20, 0,,1.00,,180,2074,1,0,,5.67,17,3.00,21,13,0,21,13,5.67,3.00,1,901,1905,356,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20619,8192,6367,30,7Big Iron Fishing Pole,25,17,20, 0,,1.00,,3378,5103,1,0,,19.00,17,3.00,69,45,0,69,45,19.00,3.00,1,,29900,356,100,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20618,8192,12225,10,7Blump Family Fishing Pole,,17,20, 0,,1.00,,187,100,1},1,,5.67,17,3.00,21,13,0,21,13,5.67,3.00,1,,,356,1,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20619,8192,19022,50,6Nat Pagle's Extreme Angler FC-5000,,17,20, 0,,1.00,1,28580,1231,1,1,,38.83,17,3.00,140,93,0,140,93,38.83,3.00,1,,,356,100,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20619,8192,19970,20,5Arcanite Fishing Pole,,17,20, 0,,1.00,1,2175,2233,4,1,,17.50,17,3.00,63,42,0,63,42,17.50,3.00,1,,,356,300,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20787,8192,5210,25,7Burning Wand,20,15,19, 0,,1.00,,1161,25,1},0,,17.50,26,1.40,,,,,,,,,5808,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6099,8192,5209,21,7Gloom Wand,16,15,19, 0,,1.00,,771,31,1,0,,14.44,26,1.80,,,,,,,,,3855,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20916,8192,5236,34,7Combustible Wand,29,15,19, 0,,1.00,,2878,32,1,0,,25.94,26,1.60,,,,,,,,,14394,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6081,8192,5212,17,6Blazing Wand,12,15,19, 0,,1.00,,672,42,1,0,true,12.67,26,1.50,,,,,,,,,,1313,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21022,8192,5347,35,7Pestilent Wand,30,15,19, 0,,1.00,,3142,44,1,0,,27.00,26,1.50,,,,,,,,,15713,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21019,8192,5245,34,6Summoner's Wand,29,15,19, 0,,1.00,,5091,45,1,0,,28.06,26,1.80,,,,,,,,,,12800,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20903,8192,5207,20,6Opaque Wand,15,15,19, 0,,1.00,,1081,48,1,0,true,15.00,26,1.40,,,,,,,,,,1440,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18346,8192,8184,29,6Firestarter,24,15,19, 0,,1.00,,2947,60,1,0,true,23.33,26,1.50,,,,,,,,,,4629,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20907,8192,5213,35,6Scorching Wand,30,15,19, 0,,1.00,,5218,74,1,0,true,28.85,26,1.30,,,,,,,,,,5800,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6097,8192,5069,12,6Fire Wand,7,15,19, 0,,1.00,,293,89,1,0,true,8.67,26,1.50,,,,,,,,,,649,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20851,8192,8186,26,6Dire Wand,21,15,19, 0,,1.00,,2231,96,1,0,true,20.29,26,1.70,,,,,,,,,,3950,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20852,8192,5211,25,7Dusk Wand,20,15,19, 0,,1.00,,1166,106,1,0,,17.65,26,1.70,,,,,,,,,5830,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20787,8192,5238,45,7Pitchwood Wand,40,15,19, 0,,1.00,,7145,112,1,0,,34.71,26,1.70,,,,,,,,,35727,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18356,8192,5071,14,6Shadow Wand,9,15,19, 0,,1.00,,443,125,1,0,,10.36,26,1.40,,,,,,,,,,780,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6097,8192,12468,53,8Chilton Wand,1,15,19, 0,,1.00,,8644,132,1,0,true,37.00,26,0.50,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21016,8192,18338,59,5Wand of Arcane Potency,54,15,19, 0,,1.00,,36595,133,2,0,,58.44,26,1.60,,,,,,,,,,69500,,,65,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20829,8192,5208,20,7Smoldering Wand,15,15,19, 0,,1.00,,668,139,1,0,,13.44,26,1.60,,,,,,,,,3340,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20815,8192,5215,41,6Ember Wand,36,15,19, 0,,1.00,,8656,181,1,0,,33.67,26,1.50,,,,,,,,,,25000,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28569,8192,15279,51,6Ivory Wand,46,15,19, 0,,1.00,,18267,201,1,0,,42.14,26,1.40,,,,,,,,,,65000,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21025,8192,9381,38,5Earthen Rod,33,15,19, 0,,1.00,,8628,212,1,0,,35.59,26,1.70,,,,,,,,,,32000,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35017,8192,21801,68,5Antenna of Invigoration,60,15,19, 0,,1.00,,52726,281,5,0,,71.56,26,1.60,,,,,,,,,,,,,65,,,4,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28538,8192,15281,57,6Glowstar Rod,52,15,19, 0,,1.00,,26110,312,1,0,true,50.00,26,1.50,,,,,,,,,,150000,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28747,8192,10572,39,5Freezing Shard,34,15,19, 0,,1.00,,9592,360,1,0,,35.77,26,1.30,,,,,,,,,,144444,,,65,,,,,,128,128,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21101,8192,11290,35,6Greater Mystic Wand,30,15,19, 0,,1.00,,5263,362,1,0,,29.00,26,2.00,,,,,,,,,,9900,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21098,8192,11289,31,6Lesser Mystic Wand,26,15,19, 0,,1.00,,3581,365,1,0,,25.38,26,1.30,,,,,,,,,,6900,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21020,8192,5214,32,6Wand of Eventide,27,15,19, 0,,1.00,,3935,372,1,0,,25.77,26,1.30,,,,,,,,,,4500,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28633,8192,13062,27,5Thunderwood,22,15,19, 0,,1.00,,2991,380,1,0,,27.11,26,1.90,,,,,,,,,,23000,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28457,8192,15280,53,6Wizard's Hand,48,15,19, 0,,1.00,,20603,386,1,0,true,44.44,26,1.80,,,,,,,,,,57176,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28738,8192,12984,21,5Skycaller,16,15,19, 0,,1.00,,1423,391,1,0,,21.56,26,1.60,,,,,,,,,,39999,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28631,8192,13004,58,5Torch of Austen,53,15,19, 0,,1.00,,33590,391,1,0,,56.79,26,1.40,,,,,,,,,,180000,,,65,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20790,8192,5216,45,6Umbral Wand,40,15,19, 0,,1.00,,11821,411,1,0,true,35.67,26,1.50,,,,,,,,,,29935,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28626,8192,13065,50,5Wand of Allistarj,45,15,19, 0,,1.00,,20945,498,1,0,,48.42,26,1.90,,,,,,,,,,99900,,,65,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20786,8192,9483,49,5Flaming Incinerator,44,15,19, 0,,1.00,,19139,509,1,0,,47.22,26,1.80,,,,,,,,,,,,,65,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28518,8192,15282,60,6Dragon Finger,55,15,19, 0,,1.00,,30628,611,1,0,true,53.21,26,1.40,,,,,,,,,,101364,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28697,8192,13063,34,5Starfaller,29,15,19, 0,,1.00,,5851,1064,1,0,,32.86,26,1.40,,,,,,,,,,35000,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21096,8192,11287,15,6Lesser Magic Wand,5,15,19, 0,,1.00,,508,1075,1,0,,11.33,26,1.50,,,,,,,,,,803,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20776,8192,5239,46,7Blackbone Wand,41,15,19, 0,,1.00,,7746,1248,1,0,,35.31,26,1.60,,,,,,,,,38731,17500,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21097,8192,11288,23,6Greater Magic Wand,13,15,19, 0,,1.00,,1535,1691,1,0,,17.50,26,1.80,,,,,,,,,,1737,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28787,8192,13064,42,5Jaina's Firestarter,37,15,19, 0,,1.00,,11487,1730,1,0,,39.38,26,1.60,,,,,,,,,,120000,,,65,,,6,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28577,8192,15283,64,6Lunar Wand,59,15,19, 0,,1.00,,37365,1964,1,0,,56.76,26,1.70,,,,,,,,,,80000,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28218,8192,15204,18,6Moonstone Wand,15,15,19, 0,,1.00,,779,14,1},1,,13.61,26,1.80,,,,,,,,,,,,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6097,8192,5241,18,6Dwarven Flamestick,13,15,19, 0,,1.00,,821,19,1,1,,13.61,26,1.80,,,,,,,,,,,,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21014,8192,6797,37,6Eyepoker,30,15,19, 0,,1.00,,6362,24,1,1,,30.59,26,1.70,,,,,,,,,,,,,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6101,8192,5240,21,6Torchlight Wand,15,15,19, 0,,1.00,,1244,27,1,1,,15.77,26,1.30,,,,,,,,,,,,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18408,8192,9489,31,6Gyromatic Icemaker,26,15,19, 0,,1.00,,3690,31,1,1,,25.00,26,1.40,,,,,,,,,,,,,55,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20920,8192,7607,22,6Sable Wand,15,15,19, 0,,1.00,,1399,36,1,1,,16.94,26,1.80,,,,,,,,,,,,,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21023,8192,5248,37,6Flash Wand,30,15,19, 0,,1.00,,6849,40,1,1,,30.38,26,1.30,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28216,8192,15465,28,6Stingshot Wand,24,15,19, 0,,1.00,,2713,41,1,1,,22.22,26,1.80,,,,,,,,,,,,,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21026,8192,5818,30,6Moonbeam Wand,25,15,19, 0,,1.00,,3239,41,1,1,,24.17,26,1.80,,,,,,,,,,,,,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32582,8192,19927,65,4Mar'li's Touch,60,15,19, 0,,1.00,,62348,41,4,1,,76.76,26,1.70,,,,,,,,,,,,,75,,,11,,,,,,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6093,8192,8071,23,6Sizzle Stick,15,15,19, 0,,1.00,,1534,48,1,1,,17.65,26,1.70,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6093,8192,5242,16,6Cinder Wand,9,15,19, 0,,1.00,,623,49,1,1,,11.79,26,1.40,,,,,,,,,,,,,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28159,8192,5604,13,6Elven Wand,7,15,19, 0,,1.00,,380,51,1,1,,9.38,26,1.60,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20825,8192,5252,21,6Wand of Decay,16,15,19, 0,,1.00,,1175,54,1,1,,15.67,26,1.50,,,,,,,,,,,,,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26412,8192,15692,38,6Kodo Brander,32,15,19, 0,,1.00,,6935,54,1,1,,31.05,26,1.90,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6140,8192,5250,28,6Charred Wand,19,15,19, 0,,1.00,,2646,60,1,1,,22.22,26,1.80,,,,,,,,,,,,,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6081,8192,5235,7,7Alchemist's Wand,,15,19, 0,,1.00,,41,73,1,1,,4.44,26,1.80,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24186,8192,13534,60,5Banshee Finger,55,15,19, 0,,1.00,,37727,73,1,1,,59.74,26,1.90,,,,,,,,,,,,,65,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32774,8192,19367,75,4Dragon's Touch,60,15,19, 0,,1.00,,103461,73,3,1,,95.63,26,1.60,,,,,,,,,,,,,75,,,12,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6097,8192,5326,18,6Flaring Baton,13,15,19, 0,,1.00,,776,78,1,1,,13.68,26,1.90,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35262,8192,23009,83,4Wand of the Whispering Dead,60,15,19, 0,,1.00,,148994,86,6,1,,113.67,26,1.50,,,,,,,,,,,,,75,,,10,,22,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32584,8192,19967,68,5Thoughtblighter,60,15,19, 0,,1.00,,55576,92,4,1,,71.67,26,1.80,,,,,,,,,,,,,65,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21018,8192,6677,26,6Spellcrafter Wand,17,15,19, 0,,1.00,,2401,95,1,1,,20.29,26,1.70,,,,,,,,,,,,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20821,8192,6729,38,6Fizzle's Zippy Lighter,28,15,19, 0,,1.00,,7187,102,1,1,,31.00,26,1.50,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28248,8192,12296,17,6Spark of the People's Militia,9,15,19, 0,,1.00,,722,107,1,1,,12.78,26,1.80,,,,,,,,,,,,,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28408,8192,16789,36,6Captain Rackmore's Tiller,30,15,19, 0,,1.00,,5992,108,1,1,,29.67,26,1.50,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35262,8192,22820,83,4Wand of Fates,60,15,19, 0,,1.00,,147283,113,6,1,,113.67,26,1.50,,,,,,,,,,,,,75,,,7,,,,,,,,,,7,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33125,8192,20672,62,5Sparkling Crystal Wand,57,15,19, 0,,1.00,,39497,116,4,1,,62.33,26,1.50,,,,,,,,,,,,,65,,,9,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28807,8192,11748,53,5Pyric Caduceus,48,15,19, 0,,1.00,,25083,135,1,1,,52.50,26,1.80,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34198,8192,21603,78,4Wand of Qiraji Nobility,60,15,19, 0,,1.00,,121194,156,5,1,,102.19,26,1.60,,,,,,,,,,,,,75,,,,,,,,,,,,,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12601,8192,5243,20,5Firebelcher,15,15,19, 0,,1.00,,1312,157,1,1,,20.29,26,1.70,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25077,8192,11263,40,5Nether Force Wand,30,15,19, 0,,1.00,,10103,181,1,1,,37.33,26,1.50,,,,,,,,,,,,,65,,9,3,,,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28108,8192,11860,46,6Charged Lightning Rod,43,15,19, 0,,1.00,,12970,190,1,1,,37.33,26,1.50,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20834,8192,5356,27,6Branding Rod,10,15,19, 0,,1.00,,2594,195,1,1,,21.56,26,1.60,,,,,,,,,,,,,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20801,8192,5253,40,6Goblin Igniter,30,15,19, 0,,1.00,,7952,197,1,1,,32.75,26,2.00,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31677,8192,18761,62,5Oblivion's Touch,57,15,19, 0,,1.00,,41011,204,1.5,1,,62.50,26,1.80,,,,,,,,,,,,,65,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21027,8192,10766,40,5Plaguerot Sprig,35,15,19, 0,,1.00,,9660,208,1,1,,37.19,26,1.60,,,,,,,,,,,,,65,,,,,,128,128,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21024,8192,5244,30,6Consecrated Wand,23,15,19, 0,,1.00,,3465,220,1,1,,24.17,26,1.20,,,,,,,,,,,,,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28267,8192,10704,46,6Chillnail Splinter,38,15,19, 0,,1.00,,13649,220,1,1,,37.14,26,1.40,,,,,,,,,,,,,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6101,8192,5092,23,7Charred Razormane Wand,18,15,19, 0,,1.00,,240,234,1,1,,15.67,26,1.50,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20793,8192,5249,40,6Burning Sliver,30,15,19, 0,,1.00,,8658,247,1,1,,32.69,26,1.30,,,,,,,,,,,,,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28818,8192,16993,60,6Smokey's Fireshooter,54,15,19, 0,,1.00,,30989,249,1,1,,53.16,26,1.90,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32595,8192,19861,68,4Touch of Chaos,60,15,19, 0,,1.00,,75990,251,4,1,,82.00,26,1.50,,,,,,,,,,,,,75,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21011,8192,5198,22,5Cookie's Stirring Rod,17,15,19, 0,,1.00,,1660,265,1,1,,22.31,26,1.30,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6093,8192,5246,30,6Excavation Rod,22,15,19, 0,,1.00,,3490,270,1,1,,24.21,26,1.90,,,,,,,,,,,,,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20828,8192,5247,39,6Rod of Sorrow,30,15,19, 0,,1.00,,7961,276,1,1,,31.84,26,1.90,,,,,,,,,,,,,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15238,8192,19108,63,5Wand of Biting Cold,51,15,19, 0,,1.00,,44327,276,3,1,,64.00,26,1.50,,,,,,,,,,,,,65,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35263,8192,22821,92,4Doomfinger,60,15,19, 0,,1.00,,229338,292,6,1,,139.00,26,1.50,,,,,,,,,,,,,75,,,,,,,,,,,,,,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31977,8192,19435,70,4Essence Gatherer,60,15,19, 0,,1.00,,79598,317,3,1,,85.36,26,1.40,,,,,,,,,,,,,75,,,7,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25078,8192,7513,40,5Ragefire Wand,30,15,19, 0,,1.00,,9805,335,1,1,,37.14,26,1.40,,,,,,,,,,,,,65,,,3,,,128,128,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34899,8192,22408,63,5Ritssyn's Wand of Bad Mojo,58,15,19, 0,,1.00,,42763,350,5,1,,63.85,26,1.30,,,,,,,,,,,,,65,,,,,,,,,,,,,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
