armor,classs,displayid,flags2,id,level,name,reqlevel,slot,slotbak,subclass,firstseenpatch,avgbuyout,dmgrange,dura,sellprice,popularity,contentPhase,bop,sta,str,itemset,commondrop,agi,int,spi,buyprice,def,frores,reqclass,classes,manargn,arcres,firres,natres,shares,maxcount,splheal,side,parrypct,splpwr,mlecritstrkpct,rgdcritstrkpct,mlehitpct,rgdhitpct,atkpwr,rgdatkpwr,arcsplpwr,splcritstrkpct,splpen,splhitpct,shasplpwr,dodgepct,reqfaction,reqrep,blockamount,blockpct,natsplpwr,healthrgn,cooldown,reqskill,reqskillrank,frosplpwr,firsplpwr,reqspell,speed,c,c2,n,t,ti,sourcemore,icon,s,sheathtype,dmg,q,holsplpwr,z
245,4,26362,8192,10377,59,6Commander's Vambraces,54,9,9,4, 0,29956,1.00,40,7978,23,1,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,27385,8192,10239,51,6Heavy Lamellar Vambraces,46,9,9,4, 0,15000,1.00,40,4962,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,4,26837,8192,14956,45,6Bloodforged Bindings,40,9,9,4, 0,8000,1.00,40,3108,28,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,4,27402,8192,10202,48,6Overlord's Vambraces,43,9,9,4, 0,10000,1.00,40,3988,28,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,4,35275,8192,22671,80,4Icebane Bracers,60,9,9,4, 0,,1.00,55,34452,29,6,0,13,6,,,,,,,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,4,18378,8192,9432,42,5Skullplate Bracers,40,9,9,4, 0,,1.00,45,3027,41,1,0,9,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,4,31193,8192,18741,61,5Morlune's Bracer,56,9,9,4, 0,,1.00,45,10416,66,1,0,7,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,4,28357,8192,13076,48,5Giantslayer Bracers,43,9,9,4, 0,78500,1.00,45,4715,134,1,0,6,10,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,4,31509,8192,16857,66,4Lawbringer Bracers,60,9,9,4, 0,1440000,1.00,55,17054,165,1,0,11,10,208,,,8,11,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,4,29968,8192,16722,57,5Lightforge Bracers,52,9,9,4, 0,49898,1.00,45,8105,283,1,0,10,7,188,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,4,31161,8192,18712,50,5Arena Vambraces,45,9,9,4, 0,15000,1.00,45,5821,285,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,4,25753,8192,12408,51,6Thorium Bracers,46,9,9,4, 0,10000,1.00,40,4998,388,1,0,,,,,,,,,,5,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,4,31020,8192,16861,66,4Bracers of Might,60,9,9,4, 0,,1.00,55,17786,606,1,0,23,11,209,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,4,29961,8192,16735,57,5Bracers of Valor,52,9,9,4, 0,61024,1.00,45,8738,865,1,0,14,7,189,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,4,28824,8192,12550,53,5Runed Golem Shackles,48,9,9,4, 0,150000,1.00,45,6464,1038,1,0,,14,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,4,28844,8192,17014,59,4Dark Iron Bracers,54,9,9,4, 0,495094,1.00,55,12637,1318,1,0,7,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4,24511,8192,12425,54,6Imperial Plate Bracers,49,9,9,4, 0,15000,1.00,40,6044,2357,1,0,8,9,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,4,27273,8192,16512,60,5Legionnaire's Plate Bracers,55,9,9,4, 0,,1.00,45,5160,4,2},1,14,10,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,4,27223,8192,16412,60,5Knight-Captain's Lamellar Armsplints,55,9,9,4, 0,,1.00,45,5031,5,2,1,13,7,,,,7,,,,,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,4,27223,8192,18445,63,5Sergeant Major's Plate Wristguards,58,9,9,4, 0,,1.00,45,5804,5,2,1,17,7,,,,,,29021,,,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,4,30320,8192,16469,65,4Marshal's Lamellar Armguards,60,9,9,4, 0,,1.00,55,8466,5,2,1,19,14,,,,4,,,,,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,4,27273,8192,18429,63,5First Sergeant's Plate Bracers,58,9,9,4, 0,,1.00,45,5889,6,2,1,17,7,,,,,,29447,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,4,27223,8192,16404,60,5Knight-Captain's Plate Wristguards,55,9,9,4, 0,,1.00,45,4754,7,2,1,14,10,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,4,30320,8192,16481,65,4Marshal's Plate Bracers,60,9,9,4, 0,,1.00,55,8216,7,2,1,17,17,,,7,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,4,30369,8192,16546,65,4General's Plate Armguards,60,9,9,4, 0,,1.00,55,8593,8,2,1,17,17,,,7,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,4,27273,8192,18430,50,5First Sergeant's Plate Bracers,45,9,9,4, 0,,1.00,45,2878,9,2,1,14,6,,,,,,14391,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,4,32088,8192,19580,55,4Berserker Bracers,50,9,9,4, 0,,1.00,55,9635,10,3,1,9,17,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,4,32265,8192,19827,61,4Zandalar Freethinker's Armguards,58,9,9,4, 0,,1.00,55,,12,4,1,12,12,475,,6,10,,,,,2,2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,4,27223,8192,18447,50,5Sergeant Major's Plate Wristguards,45,9,9,4, 0,,1.00,45,2847,14,2,1,14,6,,,,,,14235,,,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,4,33137,8192,20687,68,5Abyssal Plate Vambraces,60,9,9,4, 0,,1.00,45,14019,15,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,4,35619,8192,22424,88,4Redemption Wristguards,60,9,9,4, 0,,1.00,55,50719,15,6,1,22,,528,,,15,,,,,,,4,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,4,33818,8192,21457,72,4Bracers of Brutality,60,9,9,4, 0,,1.00,55,24104,24,5,1,9,21,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,4,32417,8192,19824,61,4Zandalar Vindicator's Armguards,58,9,9,4, 0,,1.00,55,,26,4,1,13,13,474,,13,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,4,28343,8192,10746,50,6Runesteel Vambraces,40,9,9,4, 0,,1.00,40,4549,27,1,1,11,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,4,18378,8192,20616,71,4Dragonbone Wristguards,60,9,9,4, 0,,1.00,55,21638,34,4,1,13,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,4,34550,8192,22205,57,5Black Steel Bindings,52,9,9,4, 0,,1.00,45,8522,39,5,1,10,10,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,4,26476,8192,15797,59,6Shining Armplates,52,9,9,4, 0,,1.00,40,7530,43,1,1,13,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,4,34522,8192,22088,65,5Soulforge Bracers,58,9,9,4, 0,,1.00,45,12524,45,5,1,10,9,516,,,9,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,4,33528,8192,21184,62,4Deeprock Bracers,,9,9,4, 0,,1.00,55,14425,52,5,1,8,19,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,4,35310,8192,22936,83,4Wristguards of Vengeance,60,9,9,4, 0,,1.00,55,40803,62,6,1,10,24,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,4,31619,8192,19112,63,5Frozen Steel Vambraces,58,9,9,4, 0,,1.00,45,10984,70,3,1,7,12,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,4,32088,8192,19581,45,4Berserker Bracers,40,9,9,4, 0,,1.00,55,4945,72,3,1,8,14,,,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,4,34227,8192,21618,78,4Hive Defiler Wristguards,60,9,9,4, 0,,1.00,55,31727,73,5,1,,23,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,4,33634,8192,16951,76,4Judgement Bindings,60,9,9,4, 0,,1.00,55,27889,74,3,1,21,9,217,,,9,8,,,,2,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,4,30704,8192,18351,61,6Magically Sealed Bracers,56,9,9,4, 0,,1.00,40,8740,85,1.5,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,4,26542,8192,15860,60,6Blinkstrike Armguards,57,9,9,4, 0,,1.00,40,7907,86,1,1,,3,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,4,32088,8192,19578,65,4Berserker Bracers,60,9,9,4, 0,,1.00,55,17699,88,3,1,11,19,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,4,29925,8192,17746,51,5Noxxion's Shackles,46,9,9,4, 0,,1.00,45,5723,96,1,1,5,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,4,35044,8192,22423,88,4Dreadnaught Bracers,60,9,9,4, 0,,1.00,55,50527,113,6,1,28,14,523,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,4,33982,8192,16959,76,4Bracelets of Wrath,60,9,9,4, 0,,1.00,55,29507,134,3,1,27,13,218,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,4,34612,8192,21996,65,5Bracers of Heroism,58,9,9,4, 0,,1.00,45,12568,155,5,1,14,9,511,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,4,30869,8192,18533,63,5Gordok Bracers of Power,58,9,9,4, 0,,1.00,45,10984,226,1.5,1,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,4,30807,8192,18459,60,6Gallant's Wristguards,55,9,9,4, 0,,1.00,40,7907,253,1.5,1,,,,,,14,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,4,24749,8192,13951,62,5Vigorsteel Vambraces,57,9,9,4, 0,,1.00,45,11005,261,1,1,17,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,4,21754,8192,11767,57,5Emberplate Armguards,52,9,9,4, 0,,1.00,45,8637,513,1,1,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,4,24110,8192,13400,59,5Vambraces of the Sadist,54,9,9,4, 0,,1.00,45,9296,1304,1,1,7,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,4,31213,8192,18754,62,5Fel Hardened Bracers,57,9,9,4, 0,,1.00,45,10461,1450,1.5,1,12,12,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,4,22752,8192,12936,63,5Battleborn Armbraces,58,9,9,4, 0,,1.00,45,11640,2001,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4,26928,8192,3280,9,7Battle Chain Bracers,4,9,9,3, 0,,1.00,20,33,3},,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4,6953,8192,3213,13,7Veteran Bracers,8,9,9,3, 0,262,1.00,20,89,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4,6904,8192,2651,4,8Flimsy Chain Bracers,1,9,9,3, 0,,1.00,18,3,4,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,6953,8192,2390,5,7Rusted Chain Bracers,1,9,9,3, 0,,1.00,18,7,4,,0,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4,6904,8192,2643,10,8Loose Chain Bracers,5,9,9,3, 0,149,1.00,20,28,4,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4,27026,8192,14750,28,6Slayer's Cuffs,23,9,9,3, 0,2816,1.00,35,1068,4,,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4,25800,8192,6387,29,6Glimmering Mail Bracers,24,9,9,3, 0,2243,1.00,35,1228,4,,0,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4,27783,8192,9837,30,6Banded Bracers,25,9,9,3, 0,3300,1.00,35,1287,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,4,26289,8192,16664,54,6Ornate Bracers,49,9,9,3, 0,,1.00,35,9234,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,4,6998,8192,4010,66,8Sterling Chain Bracers,61,9,9,3, 0,,1.00,35,6409,4,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,6904,8192,2384,5,7Tarnished Chain Bracers,1,9,9,3, 0,,1.00,18,7,5,,0,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,22679,8192,6507,10,7Infantry Bracers,5,9,9,3, 0,1132,1.00,20,44,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4,25808,8192,6403,33,6Mail Combat Armguards,28,9,9,3, 0,2900,1.00,35,1771,5,,0,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4,26971,8192,15507,19,6Grunt's Bracers,14,9,9,3, 0,945,1.00,30,364,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4,27074,8192,15532,26,6Sentry's Armsplints,21,9,9,3, 0,1799,1.00,35,944,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,21756,8192,14778,45,6Khan's Bindings,40,9,9,3, 0,11600,1.00,35,4933,6,,0,5,6,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,26088,8192,7545,45,6Champion's Bracers,40,9,9,3, 0,9000,1.00,35,4658,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,4,28451,8192,8264,52,6Ebonhold Wristguards,47,9,9,3, 0,,1.00,35,7857,6,,0,11,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4,26938,8192,15474,8,7Charger's Bindings,3,9,9,3, 0,,1.00,20,23,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4,25758,8192,6550,15,6Soldier's Wristguards,10,9,9,3, 0,1371,1.00,25,204,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4,27111,8192,15577,36,6Sparkleshell Bracers,31,9,9,3, 0,3200,1.00,35,2317,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4,25886,8192,6413,37,6Chief Brigadier Bracers,32,9,9,3, 0,4500,1.00,35,2497,7,,0,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4,27122,8192,15600,42,6Ancient Vambraces,37,9,9,3, 0,10454,1.00,35,3787,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4,27324,8192,15610,43,6Bonelink Bracers,38,9,9,3, 0,14500,1.00,35,4354,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4,27208,8192,15629,48,6Formidable Bracers,43,9,9,3, 0,10000,1.00,35,6374,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,4,27170,8192,15639,50,6Ironhide Bracers,45,9,9,3, 0,,1.00,35,7040,7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
